"Module","gene_id","gene_name"
"NasalRNAseq_mod0","ENSG00000156218","ADAMTSL3"
"NasalRNAseq_mod0","ENSG00000156219","ART3"
"NasalRNAseq_mod0","ENSG00000156222","SLC28A1"
"NasalRNAseq_mod0","ENSG00000156564","LRFN2"
"NasalRNAseq_mod0","ENSG00000156687","UNC5D"
"NasalRNAseq_mod0","ENSG00000156689","GLYATL2"
"NasalRNAseq_mod0","ENSG00000157093","LYZL4"
"NasalRNAseq_mod0","ENSG00000157343","ARMC12"
"NasalRNAseq_mod0","ENSG00000157734","SNX22"
"NasalRNAseq_mod0","ENSG00000158014","SLC30A2"
"NasalRNAseq_mod0","ENSG00000158560","DYNC1I1"
"NasalRNAseq_mod0","ENSG00000158865","SLC5A11"
"NasalRNAseq_mod0","ENSG00000159189","C1QC"
"NasalRNAseq_mod0","ENSG00000159289","GOLGA6A"
"NasalRNAseq_mod0","ENSG00000159337","PLA2G4D"
"NasalRNAseq_mod0","ENSG00000159387","IRX6"
"NasalRNAseq_mod0","ENSG00000159450","TCHH"
"NasalRNAseq_mod0","ENSG00000159495","TGM7"
"NasalRNAseq_mod0","ENSG00000159761","C16orf86"
"NasalRNAseq_mod0","ENSG00000159958","TNFRSF13C"
"NasalRNAseq_mod0","ENSG00000160181","TFF2"
"NasalRNAseq_mod0","ENSG00000160200","CBS"
"NasalRNAseq_mod0","ENSG00000160221","C21orf33"
"NasalRNAseq_mod0","ENSG00000160284","SPATC1L"
