"","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","virus","knock_in"
"87582","ENSG00000027075",0.155454396279799,5.11359410887255,2.18170064276501,0.0292496772138986,0.0637229809927625,-4.29993442763865,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87583","ENSG00000027697",0.232880361361263,7.54489120090591,3.41969161043516,0.000639719768596216,0.00321831319873076,-0.953626273209871,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87584","ENSG00000027847",0.0190115517308233,3.69873853891629,0.255494915166478,0.798367590732858,0.851400669829544,-6.34722644289254,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87585","ENSG00000027869",0.446105571993523,-0.274177389382983,3.97256134602067,7.36666075143669e-05,0.000616888841830684,1.37629100774027,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87586","ENSG00000028116",-0.0573654047366519,5.00469117543514,-1.35283384050307,0.176264238813239,0.265703436008238,-5.71982470849639,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87587","ENSG00000028137",0.788985108764315,6.10010991165696,3.70025483011043,0.000221302818919444,0.00143668840754272,0.0334840078166403,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87588","ENSG00000028203",-0.124648928693957,5.52153558018642,-2.37634227870044,0.0175804922192686,0.0424720604346115,-3.88597642935486,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87589","ENSG00000028277",0.302088158301497,2.56522382636182,2.73098292036791,0.00637095676911573,0.0191735077476511,-2.78359719145442,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87590","ENSG00000028310",-0.089468158452649,4.87501020989464,-2.2533852500485,0.0243446270962513,0.0550996071708801,-4.12230841759098,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87591","ENSG00000028528",0.00827703606374278,6.53977144748576,0.32271397605818,0.746946174942914,0.810728674793345,-6.64226225837692,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87592","ENSG00000028839",0.0913596122220065,3.82301889660218,1.61346889548496,0.106803124454234,0.178551428676145,-5.17053571378806,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87593","ENSG00000029153",-0.0271077029593005,5.62091861205223,-0.391750473298685,0.695285040594146,0.768957627676969,-6.5962127156826,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87594","ENSG00000029363",-0.176788813814498,7.56632674397528,-4.555752388791,5.54007188173893e-06,9.10539642192138e-05,3.4787778740088,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87595","ENSG00000029364",-0.133358551047485,6.62000451811127,-2.96042741438619,0.00310888976859882,0.0109191047630971,-2.38713428280215,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87596","ENSG00000029534",0.195587910771318,0.424288244201823,1.68958916348112,0.0912650952218256,0.157481065139894,-4.74779103847082,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87597","ENSG00000029639",-0.168770459459254,2.78060666404063,-2.60349085312104,0.00929738802468153,0.0256711802756743,-3.01602334626095,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87598","ENSG00000029725",-0.1231355406643,5.77101903240055,-3.45506336535296,0.000561836664449021,0.00291637188202209,-0.816400366697064,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87599","ENSG00000029993",0.177766499446622,4.23466481311908,2.53928810996135,0.0111842809221197,0.0296941313110014,-3.36937372671264,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87600","ENSG00000030066",-0.173216736487955,5.73774272202062,-3.43369439652775,0.000607757682275667,0.00309177568829943,-0.878494182274698,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87601","ENSG00000030110",0.186288268801483,4.5084467634744,3.10147266704191,0.00195294620362539,0.00758672604076826,-1.80511603182819,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87602","ENSG00000030419",-0.38864243899321,6.80806979141327,-5.37007799980363,8.80196278444429e-08,4.44040685052747e-06,7.41191429974547,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87603","ENSG00000030582",0.330252022403035,8.26937376515578,3.69937063197453,0.000222069794383533,0.00143845387543395,0.0256867139950154,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87604","ENSG00000031003",-0.0344905860683448,6.12536969662355,-0.891278576236576,0.372888777555315,0.478257507865569,-6.30284793641316,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
