"","group_id","timepoint","shannon"
"399","Other ABX","Day 0-2",0
"400","Other ABX","Day 0-2",1.42617329695987
"401","Azithromycin","Day 0-2",0
"402","No ABX","Day 0-2",0
"403","Azithromycin","Day 0-2",1.63970635741561
"404","Azithromycin","Day 0-2",2.2427560149222
"405","Azithromycin","Day 0-2",2.3162416617346
"406","Azithromycin","Day 0-2",0.636514168294813
"407","Azithromycin","Day 0-2",0
"408","Azithromycin","Day 0-2",0
"409","Other ABX","Day 0-2",0.810716028292674
"410","Azithromycin","Day 0-2",0.158410570131791
"411","Azithromycin","Day 0-2",0
"412","Azithromycin","Day 0-2",1.07354284640852
"413","Other ABX","Day 0-2",0.562335144618808
"414","No ABX","Day 0-2",1.15927797092704
"415","No ABX","Day 4-6",0
"416","Azithromycin","Day 0-2",0.693147180559945
"417","Other ABX","Day 4-6",1.29120943429021
"418","Other ABX","Day 0-2",0.872810154204481
"419","Azithromycin","Day 0-2",1.78226429001864
"420","Azithromycin","Day 0-2",1.71707598019888
"421","Azithromycin","Day 0-2",0.983087758574785
"422","Azithromycin","Day 0-2",0.269173297605699
"423","No ABX","Day 4-6",1.51471853890734
"424","Other ABX","Day 0-2",1.09861228866811
"425","Other ABX","Day 0-2",1.51067725562347
"426","Other ABX","Day 0-2",0.682908104700472
"427","Azithromycin","Day 0-2",0.693147180559945
"428","No ABX","Day 0-2",0.610864302054893
"429","Other ABX","Day 0-2",1.40990850382313
"430","Other ABX","Day 4-6",1.37781950803903
"431","Azithromycin","Day 0-2",0.950270539233235
"432","Azithromycin","Day 0-2",1.7578727874776
"433","Azithromycin","Day 0-2",0.450561208866305
"434","Azithromycin","Day 0-2",1.9143051754298
"435","Azithromycin","Day 0-2",1.3515989255557
"436","No ABX","Day 4-6",1.05492016798614
"437","Azithromycin","Day 0-2",0
"438","No ABX","Day 0-2",0
"439","Azithromycin","Day 0-2",0
"440","Other ABX","Day 0-2",0
"441","Azithromycin","Day 0-2",1.93380999892063
"442","No ABX","Day 0-2",1.11999035565037
"443","Other ABX","Day 4-6",1.40714923604453
"444","Azithromycin","Day 0-2",0.885574151576672
"445","Azithromycin","Day 0-2",1.81477841163549
"446","Azithromycin","Day 4-6",1.99150936135661
"447","No ABX","Day 4-6",0
"448","Azithromycin","Day 0-2",0
"449","Azithromycin","Day 0-2",0
"450","No ABX","Day 0-2",1.09861228866811
"451","Other ABX","Day 4-6",1.43917411542133
"452","Azithromycin","Day 0-2",1.32966134885476
"453","Other ABX","Day 4-6",0.979628173784301
"454","Other ABX","Day 4-6",1.09861228866811
"455","Azithromycin","Day 4-6",0.500402423538188
"456","Other ABX","Day 0-2",1.37346859410268
"457","Other ABX","Day 4-6",1.4402347497046
"458","Azithromycin","Day 0-2",0.562335144618808
"459","Azithromycin","Day 0-2",0.693147180559945
"460","No ABX","Day 4-6",1.07513932400537
"461","Azithromycin","Day 0-2",0.410116318288409
"462","Azithromycin","Day 0-2",1.88485668422573
"463","No ABX","Day 0-2",1.31078367809971
"464","Other ABX","Day 0-2",1.38629436111989
"465","Other ABX","Day 0-2",1.37781950803903
"466","No ABX","Day 0-2",0.701713400885107
"467","Azithromycin","Day 0-2",1.56071040904141
"468","Azithromycin","Day 0-2",0.693147180559945
"469","No ABX","Day 4-6",0.867563228481461
"470","Other ABX","Day 0-2",0.735621939758795
"471","Other ABX","Day 0-2",1.09861228866811
"472","No ABX","Day 4-6",1.33217904021012
"473","Azithromycin","Day 0-2",1.09861228866811
"474","Azithromycin","Day 0-2",0
"475","No ABX","Day 0-2",1.5396544474401
