"Module","Analysis","P value","Q value","Direction"
"mod12","Longitudinal analysis - 1|4 shape",0.00871811579099479,0.038495576219977,"Severe"
"mod12","Longitudinal analysis - 1|5 average",2.62904949524826e-08,7.88714848574477e-07,"Severe"
"mod12","Longitudinal analysis - 1|5 shape",3.24023871897108e-06,7.49712288901511e-05,"Severe"
"mod12","Longitudinal analysis - 2|4 average",1.72013670079851e-06,3.13310613359729e-05,"Severe"
"mod12","Longitudinal analysis - 2|4 shape",0.0197976056793436,0.0782696038485676,"Severe"
"mod12","Longitudinal analysis - 2|5 average",3.98868720019395e-06,6.56203378096424e-05,"Severe"
"mod12","Longitudinal analysis - 2|5 shape",8.41379956939139e-06,0.000150562729136477,"Severe"
"mod12","Longitudinal analysis - 3|4 average",3.15939426142584e-05,0.000407921790715741,"Severe"
"mod12","Longitudinal analysis - 3|5 average",0.000229356406276542,0.00227129645050556,"Severe"
"mod12","Longitudinal analysis - 3|5 shape",0.000274388086517568,0.00245505130042034,"Severe"
"mod12","Longitudinal analysis - 4|5 average",0.0245284437010387,0.0988893777670335,"Mild"
"mod12","Longitudinal analysis - 4|5 shape",0.0031247376637809,0.0171356581562178,"Severe"
"mod13","Longitudinal analysis - 1|3 shape",0.0277916185318301,0.100522875540662,"Severe"
"mod13","Longitudinal analysis - 1|4 shape",1.20283263059535e-05,0.000185892315637463,"Severe"
"mod13","Longitudinal analysis - 1|5 average",0.00129007660318366,0.00974790971297402,"Severe"
"mod13","Longitudinal analysis - 1|5 shape",2.41604607177778e-07,1.43772899426907e-05,"Severe"
"mod13","Longitudinal analysis - 2|4 shape",3.56254156068095e-06,7.57040081644703e-05,"Severe"
"mod13","Longitudinal analysis - 2|5 average",0.0214329479875354,0.0907120620219339,"Mild"
"mod13","Longitudinal analysis - 2|5 shape",0.000483911795170201,0.00398008837665773,"Severe"
"mod13","Longitudinal analysis - 3|4 average",0.0307067769082188,0.115150413405821,"Mild"
"mod13","Longitudinal analysis - 3|4 shape",0.00157458311220596,0.0102319154269708,"Severe"
"mod13","Longitudinal analysis - 3|5 average",0.000929566413774248,0.00770859952885962,"Severe"
"mod13","Longitudinal analysis - 3|5 shape",0.0076955703947045,0.0344275517657833,"Severe"
"mod13","Longitudinal analysis - 4|5 average",0.0188745124315367,0.0826266209449248,"Severe"
"mod14","Longitudinal analysis - 1|5 average",0.000438325806955232,0.00392186248328365,"Mild"
"mod14","Longitudinal analysis - 1|5 shape",0.0313204706060804,0.106489600060673,"Mild"
"mod14","Longitudinal analysis - 2|4 average",0.000558397319672832,0.00486807919714777,"Mild"
"mod14","Longitudinal analysis - 2|5 average",0.0059193070076202,0.0343050747032534,"Mild"
"mod14","Longitudinal analysis - 2|5 shape",0.025454327022887,0.0956058129839596,"Mild"
"mod14","Longitudinal analysis - 3|5 shape",0.0355988947277715,0.115272611499451,"Mild"
"mod14","Longitudinal analysis - 4|5 shape",0.0416931369116174,0.131256171758795,"Mild"
"mod15","Longitudinal analysis - 1|2 average",0.00188482703092893,0.0131679696681336,"Severe"
"mod15","Longitudinal analysis - 1|3 average",0.000137257075573859,0.00150540018371329,"Severe"
"mod15","Longitudinal analysis - 1|4 average",2.25464698586168e-14,7.44184754134831e-12,"Severe"
"mod15","Longitudinal analysis - 1|5 average",3.41041315133665e-15,1.73931070718169e-12,"Severe"
"mod15","Longitudinal analysis - 1|5 shape",3.34298724688386e-07,1.5625124597138e-05,"Severe"
"mod15","Longitudinal analysis - 2|4 average",1.82259449186559e-11,1.54920531808575e-09,"Severe"
"mod15","Longitudinal analysis - 2|5 average",2.22902518789982e-13,4.54721138331564e-11,"Severe"
"mod15","Longitudinal analysis - 2|5 shape",1.05738136091661e-10,3.59509662711648e-08,"Severe"
"mod15","Longitudinal analysis - 3|4 average",2.52010129982572e-10,1.51206077989543e-08,"Severe"
"mod15","Longitudinal analysis - 3|5 average",9.60222058222238e-11,6.52950999591122e-09,"Severe"
"mod15","Longitudinal analysis - 3|5 shape",7.03241324629496e-08,7.97006834580096e-06,"Severe"
"mod15","Longitudinal analysis - 4|5 average",0.0012371376215055,0.00955969980254248,"Mild"
"mod15","Longitudinal analysis - 4|5 shape",4.57847984452376e-06,9.15695968904752e-05,"Severe"
"mod17","Longitudinal analysis - 1|2 average",0.00130286190488801,0.00977146428666006,"Severe"
"mod17","Longitudinal analysis - 1|3 average",0.0067377990006396,0.0381808610036244,"Severe"
"mod17","Longitudinal analysis - 1|4 average",2.63933492778725e-06,4.4133141415459e-05,"Severe"
"mod17","Longitudinal analysis - 1|5 average",8.41012937749793e-09,2.95804550518893e-07,"Severe"
"mod17","Longitudinal analysis - 1|5 shape",0.00448614749788232,0.0224307374894116,"Severe"
"mod17","Longitudinal analysis - 2|4 average",0.000408776218006061,0.00372278341398377,"Severe"
"mod17","Longitudinal analysis - 2|5 average",6.24770735665725e-06,9.51143508028417e-05,"Severe"
"mod17","Longitudinal analysis - 2|5 shape",0.000214349113851166,0.00208482690033678,"Severe"
"mod17","Longitudinal analysis - 3|4 average",0.000180581382816571,0.00189889701518456,"Severe"
"mod17","Longitudinal analysis - 3|5 average",2.26436853691977e-05,0.000299955312682879,"Severe"
"mod17","Longitudinal analysis - 3|5 shape",0.00539315819347112,0.0265749824026113,"Severe"
"mod17","Longitudinal analysis - 4|5 shape",0.000422352874716515,0.00358999943509037,"Severe"
"mod18","Longitudinal analysis - 1|2 average",0.000467937127098196,0.00411461956586344,"Severe"
"mod18","Longitudinal analysis - 1|3 average",8.19273515397597e-05,0.000928509984117276,"Severe"
"mod18","Longitudinal analysis - 1|4 average",1.37669885322914e-12,2.0060469004196e-10,"Severe"
"mod18","Longitudinal analysis - 1|5 average",4.68658302783736e-10,2.51595509915479e-08,"Severe"
"mod18","Longitudinal analysis - 1|5 shape",0.0262346036375602,0.0969539699648966,"Severe"
"mod18","Longitudinal analysis - 2|4 average",9.36829585846304e-08,2.33064921356885e-06,"Severe"
"mod18","Longitudinal analysis - 2|5 average",1.55389265225828e-07,3.60220569387147e-06,"Severe"
"mod18","Longitudinal analysis - 2|5 shape",0.00280629794069504,0.0159023549972719,"Severe"
