"","term","npar","AIC","LRT","Pr(Chi)","virus","feature","coef_virus"
"198","sex",1,203.919215964082,3.51240317340131,0.0609110418795096,"Anelloviridae.pbmc","symptom_syncope",-0.0832548631915496
"199","discretized_admit_age_quantile",4,206.25205713185,11.8452443411697,0.0185399475782199,"Anelloviridae.pbmc","symptom_syncope",-0.0832548631915496
"200","trajectory_group",4,200.848124998825,6.44131220814455,0.168525953691058,"Anelloviridae.pbmc","symptom_syncope",-0.0832548631915496
"201","<none>",NA,744.482361343478,NA,NA,"Anelloviridae.pbmc","symptom_anosmia",-0.191055114466199
"202","binary",1,743.037065258878,0.55470391540041,0.456402021202031,"Anelloviridae.pbmc","symptom_anosmia",-0.191055114466199
"203","sex",1,742.604431425974,0.122070082496748,0.72680007348834,"Anelloviridae.pbmc","symptom_anosmia",-0.191055114466199
"204","discretized_admit_age_quantile",4,745.067658024807,8.58529668132917,0.0723435059631386,"Anelloviridae.pbmc","symptom_anosmia",-0.191055114466199
"205","trajectory_group",4,739.015448533241,2.53308718976336,0.63872098112675,"Anelloviridae.pbmc","symptom_anosmia",-0.191055114466199
"206","<none>",NA,1482.65037999596,NA,NA,"Anelloviridae.pbmc","symptom_allGI",-0.236197049498952
"207","binary",1,1482.94883047288,2.29845047691833,0.129503134728158,"Anelloviridae.pbmc","symptom_allGI",-0.236197049498952
"208","sex",1,1486.28905852419,5.63867852822796,0.0175684440242428,"Anelloviridae.pbmc","symptom_allGI",-0.236197049498952
"209","discretized_admit_age_quantile",4,1480.62825145752,5.97787146155997,0.200806952130823,"Anelloviridae.pbmc","symptom_allGI",-0.236197049498952
"210","trajectory_group",4,1493.92584323082,19.2754632348554,0.000693801716001685,"Anelloviridae.pbmc","symptom_allGI",-0.236197049498952
"211","<none>",NA,735.37478291521,NA,NA,"Anelloviridae.pbmc","symptom_abdpain",0.384085793971751
