term,npar,AIC,LRT,Pr(Chi),virus,feature,coef_virus,OR_values,2.5 %,97.5 %,direction,log10p,signedlog10p,Label,panel
binary,1,124.979601184384,5.99440398174586,0.287026579796556,HSV1.ea,ever_conplas,1.49883707290059,4.47648022200953,1.25289403082178,15.9940702765572,1,0.5420778840169732,0.5420778840169732,Conv Plasma,Medication
binary,1,96.1699437655831,0.106782492722303,0.9700326200040882,HSV1.ea,ever_immsupp,0.225680941913521,1.25317576562417,0.314678850197718,4.99064204207235,1,0.013213661146563757,0.013213661146563757,Immunosupressed,Medication
binary,1,48.3941104827246,0.209680511235426,0.9105817497270442,HSV1.ea,ncomp,-0.98813165072242,0.372271575005139,0.0048050855079482,28.8415524193207,-1,0.04068105825829844,-0.04068105825829844,Number of Complications,Clinical Event
binary,1,89.2921617251153,0.0540144060094434,0.9700326200040882,HSV1.ea,comp_stroke,0.154861503238121,1.16749625545664,0.316458915438756,4.30718630447014,1,0.013213661146563757,0.013213661146563757,Stroke,Complications & Comorbidities
binary,1,53.1865007407356,0.00484210703788079,0.98085050513121,HSV1.ea,comp_stemi,0.072402224017764,1.07508768319678,0.139919346790969,8.2605697715851,1,0.008397179922849754,0.008397179922849754,STEMI,Complications & Comorbidities
binary,1,111.913078467024,0.0180085393609204,0.98085050513121,HSV1.ea,comp_chf,0.0764657333200413,1.07946520001487,0.353668370541538,3.29473940872606,1,0.008397179922849754,0.008397179922849754,CHF,Complications & Comorbidities
binary,1,112.369776178798,0.229042282752431,0.9105817497270442,HSV1.ea,comp_pneumo,0.272060195099915,1.31266601499489,0.431833237721167,3.99017934797128,1,0.04068105825829844,0.04068105825829844,Pneumothorax,Complications & Comorbidities
binary,1,177.00386642381,0.00387465608235971,0.98085050513121,HSV1.ea,comp_avthromb,-0.0258853329099895,0.974446820183957,0.43113405279771,2.20243935547387,-1,0.008397179922849754,-0.008397179922849754,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,203.597192134542,0.631785451730082,0.8042560766866111,HSV1.ea,comp_shock,0.318853074917361,1.37554920737737,0.633653177515887,2.98607454212453,1,0.09460564903153378,0.09460564903153378,Shock,Complications & Comorbidities
binary,1,206.364305228449,1.49539104933996,0.7928113672028282,HSV1.ea,comp_bac,0.469249608227594,1.59879402109483,0.75367189028977,3.39158505819529,1,0.10083013163318487,0.10083013163318487,Bacteremia,Complications & Comorbidities
binary,1,210.088089333357,5.7906292562393e-4,0.98085050513121,HSV1.ea,comp_renal,0.00931000511870273,1.00935347802261,0.478461854541639,2.12931173911938,1,0.008397179922849754,0.008397179922849754,Renal,Complications & Comorbidities
