""," Clinical Variable","TG1 Percent Difference","TG1 Rate of Clinical Event in Virus Negative Participants","TG1 Rate of Clinical Event in Virus Positive Participants","TG2 Percent Difference","TG2 Rate of Clinical Event in Virus Negative Participants","TG2 Rate of Clinical Event in Virus Positive Participants","TG3 Percent Difference","TG3 Rate of Clinical Event in Virus Negative Participants","TG3 Rate of Clinical Event in Virus Positive Participants","TG4 Percent Difference","TG4 Rate of Clinical Event in Virus Negative Participants","TG4 Rate of Clinical Event in Virus Positive Participants","TG5 Percent Difference","TG5 Rate of Clinical Event in Virus Negative Participants","TG5 Rate of Clinical Event in Virus Positive Participants","virus"
"667","symptom_allother",23.3,"10% (19/190)","33.3% (1/3)",-10.5,"10.5% (23/220)","0% (0/9)",-3.5,"3.5% (10/286)","0% (0/18)",4.1,"8.8% (15/171)","12.9% (4/31)",-4.2,"11.4% (10/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"668","symptom_arthralgia",25.4,"7.9% (15/190)","33.3% (1/3)",-5,"5% (11/220)","0% (0/9)",-1.7,"1.7% (5/286)","0% (0/18)",5.3,"1.2% (2/171)","6.5% (2/31)",4.9,"2.3% (2/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"669","symptom_edema",-1.1,"1.1% (2/190)","0% (0/3)",-3.2,"3.2% (7/220)","0% (0/9)",-0.3,"0.3% (1/286)","0% (0/18)",4.1,"2.3% (4/171)","6.5% (2/31)",-5.7,"5.7% (5/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"670","symptom_nonamb",-1.6,"1.6% (3/190)","0% (0/3)",-1.8,"1.8% (4/220)","0% (0/9)",-1.7,"1.7% (5/286)","0% (0/18)",-4.7,"4.7% (8/171)","0% (0/31)",3.7,"3.4% (3/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"671","symptom_bleeding",0,"0% (0/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",-0.3,"0.3% (1/286)","0% (0/18)",-0.6,"0.6% (1/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"672","ever_ever_esc",-2.6,"2.6% (5/190)","0% (0/3)",1.6,"9.5% (21/220)","11.1% (1/9)",3.1,"8% (23/286)","11.1% (2/18)",13,"32.2% (55/171)","45.2% (14/31)",-7.1,"50% (44/88)","42.9% (6/14)","Human gammaherpesvirus 4 (EBV).nasal"
"673","ever_icu",30.2,"3.2% (6/190)","33.3% (1/3)",11.1,"22.3% (49/220)","33.3% (3/9)",10.3,"17.5% (50/286)","27.8% (5/18)",9.3,"84.2% (144/171)","93.5% (29/31)",14.8,"85.2% (75/88)","100% (14/14)","Human gammaherpesvirus 4 (EBV).nasal"
"674","diedever",31.2,"2.1% (4/190)","33.3% (1/3)",-3.2,"3.2% (7/220)","0% (0/9)",2.8,"2.8% (8/286)","5.6% (1/18)",22,"13.5% (23/171)","35.5% (11/31)",0,"100% (88/88)","100% (14/14)","Human gammaherpesvirus 4 (EBV).nasal"
"675","ever_remdes",-9.8,"43.2% (82/190)","33.3% (1/3)",17.1,"71.8% (158/220)","88.9% (8/9)",-11.2,"61.2% (175/286)","50% (9/18)",6.1,"71.3% (122/171)","77.4% (24/31)",20.6,"58% (51/88)","78.6% (11/14)","Human gammaherpesvirus 4 (EBV).nasal"
"676","ever_steroids",-15.1,"48.4% (92/190)","33.3% (1/3)",-9.4,"65% (143/220)","55.6% (5/9)",-13.3,"68.9% (197/286)","55.6% (10/18)",0.8,"89.5% (153/171)","90.3% (28/31)",-4.4,"83% (73/88)","78.6% (11/14)","Human gammaherpesvirus 4 (EBV).nasal"
"677","ever_azithro",10.2,"23.2% (44/190)","33.3% (1/3)",34.8,"31.8% (70/220)","66.7% (6/9)",-2.3,"30.1% (86/286)","27.8% (5/18)",-9.5,"45% (77/171)","35.5% (11/31)",8.8,"34.1% (30/88)","42.9% (6/14)","Human gammaherpesvirus 4 (EBV).nasal"
"678","ever_otherabx",23.5,"43.2% (82/190)","66.7% (2/3)",-1.5,"45.9% (101/220)","44.4% (4/9)",8.7,"46.9% (134/286)","55.6% (10/18)",12.5,"77.8% (133/171)","90.3% (28/31)",12.5,"87.5% (77/88)","100% (14/14)","Human gammaherpesvirus 4 (EBV).nasal"
"679","ever_conplas",-3.7,"3.7% (7/190)","0% (0/3)",-8.2,"8.2% (18/220)","0% (0/9)",-6.3,"6.3% (18/286)","0% (0/18)",-1.4,"11.1% (19/171)","9.7% (3/31)",-15.9,"15.9% (14/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"680","ever_monoclonal",0,"0% (0/190)","0% (0/3)",10.7,"0.5% (1/220)","11.1% (1/9)",-0.3,"0.3% (1/286)","0% (0/18)",-1.2,"1.2% (2/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"681","ever_immsupp",-6.3,"6.3% (12/190)","0% (0/3)",4.7,"6.4% (14/220)","11.1% (1/9)",4.5,"6.6% (19/286)","11.1% (2/18)",-6.1,"9.4% (16/171)","3.2% (1/31)",2.6,"4.5% (4/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"682","anycomp",-8.6,"75.3% (143/190)","66.7% (2/3)",7.1,"81.8% (180/220)","88.9% (8/9)",-2.3,"85.7% (245/286)","83.3% (15/18)",7.6,"92.4% (158/171)","100% (31/31)",3.4,"96.6% (85/88)","100% (14/14)","Human gammaherpesvirus 4 (EBV).nasal"
"683","ncomp",-1.4,"34.7% (66/190)","33.3% (1/3)",15.6,"17.7% (39/220)","33.3% (3/9)",-4.3,"21% (60/286)","16.7% (3/18)",3.2,"6.4% (11/171)","9.7% (3/31)",-2.3,"2.3% (2/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"684","comp_seizure",0,"0% (0/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",-0.3,"0.3% (1/286)","0% (0/18)",-1.2,"1.2% (2/171)","0% (0/31)",-1.1,"1.1% (1/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"685","comp_meningitis",-0.5,"0.5% (1/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",-0.7,"0.7% (2/286)","0% (0/18)",5.3,"1.2% (2/171)","6.5% (2/31)",10.9,"3.4% (3/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"686","comp_stroke",-0.5,"0.5% (1/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",-1,"1% (3/286)","0% (0/18)",-2,"5.3% (9/171)","3.2% (1/31)",27.4,"1.1% (1/88)","28.6% (4/14)","Human gammaherpesvirus 4 (EBV).nasal"
"687","comp_afib",-1.6,"1.6% (3/190)","0% (0/3)",-5,"5% (11/220)","0% (0/9)",4.8,"6.3% (18/286)","11.1% (2/18)",-9.6,"12.9% (22/171)","3.2% (1/31)",-1.3,"22.7% (20/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"688","comp_ventricular_arr",-0.5,"0.5% (1/190)","0% (0/3)",-1.8,"1.8% (4/220)","0% (0/9)",3.8,"1.7% (5/286)","5.6% (1/18)",5.6,"4.1% (7/171)","9.7% (3/31)",1.8,"12.5% (11/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"689","comp_endo",0,"0% (0/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",0,"0% (0/286)","0% (0/18)",-0.6,"0.6% (1/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"690","comp_myocard",0,"0% (0/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",-0.7,"0.7% (2/286)","0% (0/18)",0,"0% (0/171)","0% (0/31)",-1.1,"1.1% (1/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"691","comp_cardarrest",0,"0% (0/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",5.6,"0% (0/286)","5.6% (1/18)",4.1,"2.3% (4/171)","6.5% (2/31)",-7,"28.4% (25/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"692","comp_stemi",-0.5,"0.5% (1/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",-0.7,"0.7% (2/286)","0% (0/18)",1.5,"1.8% (3/171)","3.2% (1/31)",10.9,"3.4% (3/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"693","comp_nstemi",-2.1,"2.1% (4/190)","0% (0/3)",-0.9,"0.9% (2/220)","0% (0/9)",-1.7,"1.7% (5/286)","0% (0/18)",0.9,"2.3% (4/171)","3.2% (1/31)",-4.2,"11.4% (10/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"694","comp_chf",-2.1,"2.1% (4/190)","0% (0/3)",-5,"5% (11/220)","0% (0/9)",0,"5.6% (16/286)","5.6% (1/18)",3.8,"5.8% (10/171)","9.7% (3/31)",5.8,"22.7% (20/88)","28.6% (4/14)","Human gammaherpesvirus 4 (EBV).nasal"
"695","comp_pneumonia",-20.4,"53.7% (102/190)","33.3% (1/3)",9.1,"68.6% (151/220)","77.8% (7/9)",-14,"64% (183/286)","50% (9/18)",12,"78.4% (134/171)","90.3% (28/31)",1.6,"84.1% (74/88)","85.7% (12/14)","Human gammaherpesvirus 4 (EBV).nasal"
"696","comp_bronch",0,"0% (0/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",-0.3,"0.3% (1/286)","0% (0/18)",2.1,"1.2% (2/171)","3.2% (1/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"697","comp_pneumo",-0.5,"0.5% (1/190)","0% (0/3)",-0.9,"0.9% (2/220)","0% (0/9)",-1.7,"1.7% (5/286)","0% (0/18)",2.7,"7% (12/171)","9.7% (3/31)",9.7,"4.5% (4/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"698","comp_pneumomed",0,"0% (0/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",0,"0% (0/286)","0% (0/18)",-0.3,"3.5% (6/171)","3.2% (1/31)",10.9,"3.4% (3/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"699","comp_aat",-0.5,"0.5% (1/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",0,"0% (0/286)","0% (0/18)",-1.8,"1.8% (3/171)","0% (0/31)",-2.3,"2.3% (2/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"700","comp_avthromb",-1.1,"1.1% (2/190)","0% (0/3)",-4.5,"4.5% (10/220)","0% (0/9)",2.4,"3.1% (9/286)","5.6% (1/18)",12.4,"13.5% (23/171)","25.8% (8/31)",14.9,"13.6% (12/88)","28.6% (4/14)","Human gammaherpesvirus 4 (EBV).nasal"
"701","comp_shock",-1.1,"1.1% (2/190)","0% (0/3)",30.6,"2.7% (6/220)","33.3% (3/9)",2.8,"2.8% (8/286)","5.6% (1/18)",17.7,"33.9% (58/171)","51.6% (16/31)",13.8,"64.8% (57/88)","78.6% (11/14)","Human gammaherpesvirus 4 (EBV).nasal"
"702","comp_bac",-3.7,"3.7% (7/190)","0% (0/3)",-5.5,"5.5% (12/220)","0% (0/9)",-2.5,"8% (23/286)","5.6% (1/18)",10.6,"21.6% (37/171)","32.3% (10/31)",22.7,"27.3% (24/88)","50% (7/14)","Human gammaherpesvirus 4 (EBV).nasal"
"703","comp_coag",-4.2,"4.2% (8/190)","0% (0/3)",-3.6,"3.6% (8/220)","0% (0/9)",-1.7,"1.7% (5/286)","0% (0/18)",-2,"5.3% (9/171)","3.2% (1/31)",-6.8,"6.8% (6/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"704","comp_hypogly",-0.5,"0.5% (1/190)","0% (0/3)",-1.4,"1.4% (3/220)","0% (0/9)",-1,"1% (3/286)","0% (0/18)",4.1,"2.3% (4/171)","6.5% (2/31)",-2.3,"2.3% (2/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"705","comp_bleed",32.3,"1.1% (2/190)","33.3% (1/3)",-2.3,"2.3% (5/220)","0% (0/9)",2.4,"3.1% (9/286)","5.6% (1/18)",-0.3,"9.9% (17/171)","9.7% (3/31)",-7.3,"21.6% (19/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"706","comp_anemia",-4.7,"4.7% (9/190)","0% (0/3)",5.2,"5.9% (13/220)","11.1% (1/9)",-0.1,"11.2% (32/286)","11.1% (2/18)",8.9,"29.8% (51/171)","38.7% (12/31)",-7,"28.4% (25/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"707","comp_pancreas",-1.6,"1.6% (3/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",-0.3,"0.3% (1/286)","0% (0/18)",-0.6,"0.6% (1/171)","0% (0/31)",-1.1,"1.1% (1/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"708","comp_renal",-6.8,"6.8% (13/190)","0% (0/3)",-4.3,"15.5% (34/220)","11.1% (1/9)",23.5,"15.4% (44/286)","38.9% (7/18)",12.7,"29.2% (50/171)","41.9% (13/31)",-1.9,"59.1% (52/88)","57.1% (8/14)","Human gammaherpesvirus 4 (EBV).nasal"
"709","comp_liver",-8.9,"8.9% (17/190)","0% (0/3)",-13.6,"13.6% (30/220)","0% (0/9)",16.2,"11.5% (33/286)","27.8% (5/18)",20.6,"11.7% (20/171)","32.3% (10/31)",-7.6,"14.8% (13/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"710","comp_othlab",-4.2,"4.2% (8/190)","0% (0/3)",7.9,"3.2% (7/220)","11.1% (1/9)",2.1,"3.5% (10/286)","5.6% (1/18)",4.4,"5.3% (9/171)","9.7% (3/31)",-4.5,"4.5% (4/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"711","comp_electrolyte",29.6,"3.7% (7/190)","33.3% (1/3)",9.7,"1.4% (3/220)","11.1% (1/9)",8.7,"2.4% (7/286)","11.1% (2/18)",-2,"5.3% (9/171)","3.2% (1/31)",-10.2,"10.2% (9/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"712","comp_othinf",-3.2,"3.2% (6/190)","0% (0/3)",-2.3,"2.3% (5/220)","0% (0/9)",8.7,"2.4% (7/286)","11.1% (2/18)",9.4,"3.5% (6/171)","12.9% (4/31)",-2.3,"2.3% (2/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"713","comp_othpulm",0,"0% (0/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",-0.3,"0.3% (1/286)","0% (0/18)",0,"0% (0/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"714","comp_unddisease",-2.1,"2.1% (4/190)","0% (0/3)",-0.9,"0.9% (2/220)","0% (0/9)",-1.7,"1.7% (5/286)","0% (0/18)",-1.2,"1.2% (2/171)","0% (0/31)",-1.1,"1.1% (1/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"715","comp_enceph",-0.5,"0.5% (1/190)","0% (0/3)",-1.4,"1.4% (3/220)","0% (0/9)",-2.1,"2.1% (6/286)","0% (0/18)",9.4,"3.5% (6/171)","12.9% (4/31)",-3.4,"3.4% (3/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"716","comp_othneuro",-1.1,"1.1% (2/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",4.9,"0.7% (2/286)","5.6% (1/18)",-0.6,"0.6% (1/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"717","comp_hypergly",31.8,"1.6% (3/190)","33.3% (1/3)",-5.9,"5.9% (13/220)","0% (0/9)",6.2,"4.9% (14/286)","11.1% (2/18)",-3.5,"3.5% (6/171)","0% (0/31)",1.5,"5.7% (5/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"718","comp_psych",-0.5,"0.5% (1/190)","0% (0/3)",11.1,"0% (0/220)","11.1% (1/9)",-0.3,"0.3% (1/286)","0% (0/18)",0,"0% (0/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"719","comp_gastroent",-1.1,"1.1% (2/190)","0% (0/3)",-1.8,"1.8% (4/220)","0% (0/9)",-1.4,"1.4% (4/286)","0% (0/18)",-0.6,"0.6% (1/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"720","comp_pulmvas",0,"0% (0/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",0,"0% (0/286)","0% (0/18)",0,"0% (0/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"721","comp_other2",-0.5,"0.5% (1/190)","0% (0/3)",-2.3,"2.3% (5/220)","0% (0/9)",15.6,"1% (3/286)","16.7% (3/18)",-2.9,"2.9% (5/171)","0% (0/31)",-2.3,"2.3% (2/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"722","comorb_htn",7.3,"54.7% (98/179)","62.1% (18/29)",0.9,"58.4% (115/197)","59.3% (32/54)",-4.7,"56% (136/243)","51.3% (39/76)",3.5,"59.3% (80/135)","62.8% (54/86)",5.6,"68.8% (44/64)","74.4% (29/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"723","comorb_isaric_dm",1.7,"39.7% (71/179)","41.4% (12/29)",3.4,"29.9% (59/197)","33.3% (18/54)",-4.8,"33.7% (82/243)","28.9% (22/76)",-0.7,"43.7% (59/135)","43% (37/86)",11.7,"42.2% (27/64)","53.8% (21/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"724","comorb_anyresp_noasthma",-6.5,"13.4% (24/179)","6.9% (2/29)",4.5,"17.8% (35/197)","22.2% (12/54)",-7.1,"25.5% (62/243)","18.4% (14/76)",-0.3,"17.8% (24/135)","17.4% (15/86)",-1.6,"37.5% (24/64)","35.9% (14/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"725","comorb_isaric_asthma",-8.1,"18.4% (33/179)","10.3% (3/29)",-5.8,"18.8% (37/197)","13% (7/54)",-1.7,"13.6% (33/243)","11.8% (9/76)",1,"14.1% (19/135)","15.1% (13/86)",-4.8,"12.5% (8/64)","7.7% (3/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"726","comorb_isaric_cardiac",7.6,"23.5% (42/179)","31% (9/29)",-1.3,"25.4% (50/197)","24.1% (13/54)",0.1,"27.6% (67/243)","27.6% (21/76)",-0.9,"23% (31/135)","22.1% (19/86)",-10,"48.4% (31/64)","38.5% (15/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"727","comorb_isaric_ckd",-0.2,"14% (25/179)","13.8% (4/29)",-7.8,"15.2% (30/197)","7.4% (4/54)",3.2,"15.2% (37/243)","18.4% (14/76)",8.6,"8.9% (12/135)","17.4% (15/86)",4.8,"23.4% (15/64)","28.2% (11/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"728","comorb_isaric_neoplasm",-10.1,"10.1% (18/179)","0% (0/29)",-0.4,"9.6% (19/197)","9.3% (5/54)",-5,"10.3% (25/243)","5.3% (4/76)",1.9,"7.4% (10/135)","9.3% (8/86)",-6.9,"17.2% (11/64)","10.3% (4/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"729","comorb_neuro",-0.3,"10.6% (19/179)","10.3% (3/29)",-5.3,"12.7% (25/197)","7.4% (4/54)",-0.3,"14.8% (36/243)","14.5% (11/76)",0.1,"10.4% (14/135)","10.5% (9/86)",-6.9,"17.2% (11/64)","10.3% (4/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"730","comorb_isaric_liver",7,"3.4% (6/179)","10.3% (3/29)",-2.9,"6.6% (13/197)","3.7% (2/54)",1.6,"3.7% (9/243)","5.3% (4/76)",3,"5.2% (7/135)","8.1% (7/86)",-2.1,"4.7% (3/64)","2.6% (1/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"731","comorb_hxtrans",3,"3.9% (7/179)","6.9% (2/29)",-0.5,"6.1% (12/197)","5.6% (3/54)",1.3,"6.6% (16/243)","7.9% (6/76)",3,"5.2% (7/135)","8.1% (7/86)",0.4,"4.7% (3/64)","5.1% (2/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"732","comorb_hiv2",8.1,"2.2% (4/179)","10.3% (3/29)",-1.5,"1.5% (3/197)","0% (0/54)",-1.2,"2.5% (6/243)","1.3% (1/76)",-1.5,"1.5% (2/135)","0% (0/86)",-1.6,"1.6% (1/64)","0% (0/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"733","comorb_eversmkvape",2.1,"32.4% (58/179)","34.5% (10/29)",2.5,"28.9% (57/197)","31.5% (17/54)",-1,"31.3% (76/243)","30.3% (23/76)",1.8,"29.6% (40/135)","31.4% (27/86)",-3.3,"46.9% (30/64)","43.6% (17/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"734","comorb_anysubstance",-0.3,"10.6% (19/179)","10.3% (3/29)",3.7,"5.6% (11/197)","9.3% (5/54)",-4.3,"8.2% (20/243)","3.9% (3/76)",-2.8,"7.4% (10/135)","4.7% (4/86)",-2.7,"7.8% (5/64)","5.1% (2/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"735","comorb_count",-5.3,"15.6% (28/179)","10.3% (3/29)",1.1,"13.7% (27/197)","14.8% (8/54)",-3.2,"17.7% (43/243)","14.5% (11/76)",2.8,"11.1% (15/135)","14% (12/86)",-5.2,"7.8% (5/64)","2.6% (1/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"736","comorb_countcat",-5.3,"15.6% (28/179)","10.3% (3/29)",1.1,"13.7% (27/197)","14.8% (8/54)",-3.2,"17.7% (43/243)","14.5% (11/76)",2.8,"11.1% (15/135)","14% (12/86)",-5.2,"7.8% (5/64)","2.6% (1/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"737","timesymptomcat",-11.9,"25.7% (46/179)","13.8% (4/29)",5.3,"18.8% (37/197)","24.1% (13/54)",-4.7,"21.8% (53/243)","17.1% (13/76)",-0.8,"17% (23/135)","16.3% (14/86)",-7.6,"28.1% (18/64)","20.5% (8/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"738","symptom_allresp",4.6,"81.6% (146/179)","86.2% (25/29)",5.6,"88.8% (175/197)","94.4% (51/54)",3.8,"84.4% (205/243)","88.2% (67/76)",-1.2,"91.9% (124/135)","90.7% (78/86)",13.2,"76.6% (49/64)","89.7% (35/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"739","symptom_cough",2.3,"59.8% (107/179)","62.1% (18/29)",12.5,"63.5% (125/197)","75.9% (41/54)",5.5,"57.6% (140/243)","63.2% (48/76)",2.8,"60% (81/135)","62.8% (54/86)",18.8,"45.3% (29/64)","64.1% (25/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"740","symptom_cough_prod",-1.3,"15.1% (27/179)","13.8% (4/29)",-4.6,"15.7% (31/197)","11.1% (6/54)",-0.7,"16.5% (40/243)","15.8% (12/76)",-1.5,"9.6% (13/135)","8.1% (7/86)",1.3,"14.1% (9/64)","15.4% (6/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"741","symptom_haemoptysis",7,"3.4% (6/179)","10.3% (3/29)",-2.5,"2.5% (5/197)","0% (0/54)",2.3,"1.6% (4/243)","3.9% (3/76)",3.5,"0% (0/135)","3.5% (3/86)",2.6,"0% (0/64)","2.6% (1/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"742","symptom_sorethroat",0.3,"10.1% (18/179)","10.3% (3/29)",-11.7,"11.7% (23/197)","0% (0/54)",-3.8,"9.1% (22/243)","5.3% (4/76)",-3.4,"10.4% (14/135)","7% (6/86)",8.7,"1.6% (1/64)","10.3% (4/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"743","symptom_rhinorrhea",0.2,"6.7% (12/179)","6.9% (2/29)",-2.5,"2.5% (5/197)","0% (0/54)",-2.6,"6.6% (16/243)","3.9% (3/76)",4,"3% (4/135)","7% (6/86)",6.1,"1.6% (1/64)","7.7% (3/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"744","symptom_wheeze",6.4,"3.9% (7/179)","10.3% (3/29)",3.3,"4.1% (8/197)","7.4% (4/54)",0.7,"4.5% (11/243)","5.3% (4/76)",3,"5.2% (7/135)","8.1% (7/86)",5.6,"4.7% (3/64)","10.3% (4/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"745","symptom_chestpain",-12.5,"26.3% (47/179)","13.8% (4/29)",-1.5,"21.8% (43/197)","20.4% (11/54)",0.8,"18.9% (46/243)","19.7% (15/76)",1.1,"16.3% (22/135)","17.4% (15/86)",-3.8,"14.1% (9/64)","10.3% (4/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"746","symptom_dyspnea",15,"60.9% (109/179)","75.9% (22/29)",10.4,"71.1% (140/197)","81.5% (44/54)",3.2,"69.1% (168/243)","72.4% (55/76)",-0.1,"81.5% (110/135)","81.4% (70/86)",7.6,"71.9% (46/64)","79.5% (31/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"747","symptom_chestwall",0,"0% (0/179)","0% (0/29)",0,"0% (0/196)","0% (0/54)",0,"0% (0/243)","0% (0/75)",1.2,"0% (0/135)","1.2% (1/86)",0,"0% (0/64)","0% (0/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"748","symptom_earpain",0,"0% (0/179)","0% (0/29)",-0.5,"0.5% (1/197)","0% (0/54)",1.3,"0% (0/243)","1.3% (1/76)",1.2,"0% (0/135)","1.2% (1/86)",0,"0% (0/64)","0% (0/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"749","symptom_conjunctivitis",0,"0% (0/179)","0% (0/29)",-0.5,"0.5% (1/197)","0% (0/54)",1.3,"0% (0/243)","1.3% (1/76)",0,"0% (0/135)","0% (0/86)",0,"0% (0/64)","0% (0/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"750","symptom_allsyst",12.5,"73.7% (132/179)","86.2% (25/29)",5.7,"77.7% (153/197)","83.3% (45/54)",-3.6,"72% (175/243)","68.4% (52/76)",-2,"65.9% (89/135)","64% (55/86)",17.1,"54.7% (35/64)","71.8% (28/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"751","symptom_fever",-13.5,"51.4% (92/179)","37.9% (11/29)",4.4,"54.8% (108/197)","59.3% (32/54)",5.7,"46.9% (114/243)","52.6% (40/76)",2.1,"44.4% (60/135)","46.5% (40/86)",11.2,"37.5% (24/64)","48.7% (19/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"752","symptom_chills",15,"22.9% (41/179)","37.9% (11/29)",-0.3,"29.9% (59/197)","29.6% (16/54)",-3.4,"28.4% (69/243)","25% (19/76)",2,"17.8% (24/135)","19.8% (17/86)",2.9,"12.5% (8/64)","15.4% (6/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"753","symptom_shaking",2.9,"0.6% (1/179)","3.4% (1/29)",-0.2,"2% (4/197)","1.9% (1/54)",-1.6,"1.6% (4/243)","0% (0/75)",0.4,"0.7% (1/135)","1.2% (1/86)",0,"0% (0/64)","0% (0/39)","Human gammaherpesvirus 4 (EBV).pbmc"
"754","symptom_fatigue",2.4,"42.5% (76/179)","44.8% (13/29)",5.2,"46.7% (92/197)","51.9% (28/54)",-8.6,"42.8% (104/243)","34.2% (26/76)",4,"35.6% (48/135)","39.5% (34/86)",6.2,"29.7% (19/64)","35.9% (14/39)","Human gammaherpesvirus 4 (EBV).pbmc"
