"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"136","discretized_admit_age_quantile",4,3168,6.27447474041864,5.01496195564055e-05,"CD8+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.000127881529868834
"137","virus_positive",1,3168,0.634443730616582,0.425789679006364,"CD8+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0451194764891901,0.723842454310818
"138","event_type",11,3168,28.5555813487566,0,"CD8+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"139","(Intercept)",1,3168,2.73831946477303,0.0980668022294762,"CD8+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.552159256768694,0.277855939650183
"140","trajectory_group",1,3168,0.119113374202924,0.730021015207015,"CD8+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.00612872927950204,0.829079387900817
"141","sex",1,3168,3.29692355162234,0.0695042603345623,"CD8+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.122231630243541
"142","discretized_admit_age_quantile",4,3168,0.48797835263777,0.744600342772537,"CD8+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.774992193497946
"143","virus_positive",1,3168,1.12472344922003,0.28898448695251,"CD8+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0651346399156028,0.545859586465853
"144","event_type",11,3168,1.29589756354829,0.219833171129934,"CD8+ T Cell (EM CD27low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.260732365758759
"145","(Intercept)",1,3168,0.00473449702431989,0.945147046161954,"CD8+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.022058207820413,0.950656755408087
"146","trajectory_group",1,3168,0.49090055660353,0.483577315297756,"CD8+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0119706399542909,0.685067863338488
