"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"147","sex",1,3168,13.7016191034015,0.000217917505580978,"CD8+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00111137927846299
"148","discretized_admit_age_quantile",4,3168,3.40203900269203,0.00875092502117381,"CD8+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0148765725359955
"149","virus_positive",1,3168,3.81219923600821,0.0509685592299511,"CD8+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.114620803014696,0.173293101381834
"150","event_type",11,3168,13.4844666396542,0,"CD8+ T Cell (EM CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"151","(Intercept)",1,3168,3.9717984337709,0.0463539756078558,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.645454124433607,0.15760351706671
"152","trajectory_group",1,3168,1.24162659298385,0.265242328019285,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0192332365952886,0.466460645827018
"153","sex",1,3168,0.0639812900607041,0.800326947470538,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.874456238454451
"154","discretized_admit_age_quantile",4,3168,6.13482771055657,6.48112241802279e-05,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.000157398687294839
"155","virus_positive",1,3168,0.13539913456617,0.71292300961252,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0218921319477032,0.908976837255963
"156","event_type",11,3168,15.8346040954235,0,"CD8+ T Cell (EMRA CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"157","(Intercept)",1,3168,2.38378222283489,0.122700276442195,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.495205537615899,0.329353373607997
"158","trajectory_group",1,3168,2.38565436899433,0.122553487463504,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0263852088900306,0.240393379255335
"159","sex",1,3168,26.1180998498613,3.40195349446404e-07,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,2.16874535272082e-06
"160","discretized_admit_age_quantile",4,3168,13.1464841871772,1.27060251209343e-10,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,6.48007281167651e-10
"161","virus_positive",1,3168,0.188204401445226,0.66444483933553,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0254328339966492,0.891754915950316
"162","event_type",11,3168,12.5201865079815,0,"CD8+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"163","(Intercept)",1,3168,6.65847098870224,0.00991316807773979,"CD8+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.829485870292628,0.0842619286607882
"164","trajectory_group",1,3168,0.0398987279603506,0.841691539962834,"CD8+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.00341613686897702,0.894297261210511
"165","sex",1,3168,2.44184529614797,0.118237060452871,"CD8+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.194519034938594
"166","discretized_admit_age_quantile",4,3168,4.21813220148009,0.00208275080347775,"CD8+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00379358182062019
"167","virus_positive",1,3168,8.37029305607816,0.00384006533513037,"CD8+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.171223261387011,0.0376900212341115
"168","event_type",11,3168,25.2344548745121,0,"CD8+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"169","(Intercept)",1,3168,43.0460496503893,6.22183415899258e-11,"CD8+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",1.70243738970366,3.17313542108622e-09
"170","trajectory_group",1,3168,50.9991884050046,1.14108722470974e-12,"CD8+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0987506715061348,9.69924141003276e-12
"171","sex",1,3168,82.7806076154161,0,"CD8+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"172","discretized_admit_age_quantile",4,3168,335.745929394457,0,"CD8+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"173","virus_positive",1,3168,0.00231878721207302,0.961596715344851,"CD8+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0022957637187383,0.961596715344851
"174","event_type",11,3168,1.71028344895824,0.0650808088641526,"CD8+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0790266964778995
"175","(Intercept)",1,3168,5.82025577948618,0.0158991065120475,"Conventional DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.785664550817694,0.115836347444918
"176","trajectory_group",1,3168,2.58707368820914,0.107838867252658,"Conventional DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0279212465680892,0.219991289195423
"177","sex",1,3168,4.04307162596124,0.0444376053655329,"Conventional DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0885310425273409
"178","discretized_admit_age_quantile",4,3168,1.00151534827711,0.405357438038544,"Conventional DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.469846121362857
"179","virus_positive",1,3168,3.20074795432314,0.073700105497666,"Conventional DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.10679187393763,0.209180559735655
"180","event_type",11,3168,3.90741418101042,1.19895506217604e-05,"Conventional DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,2.18381100610637e-05
"181","(Intercept)",1,3168,2.20803077725127,0.137393330482556,"Hematopoetic progenitor Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.485653322850844,0.333669516886208
"182","trajectory_group",1,3168,27.1769844801165,1.97563089665564e-07,"Hematopoetic progenitor Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0908047563715842,1.00757175729438e-06
"183","sex",1,3168,4.26030159503818,0.0390942401899311,"Hematopoetic progenitor Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0830752604036036
"184","discretized_admit_age_quantile",4,3168,3.01577075745814,0.01702724832972,"Hematopoetic progenitor Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0280125698327652
"185","virus_positive",1,3168,0.066338139265176,0.796761754963643,"Hematopoetic progenitor Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0154638093797834,0.939312729033555
"186","event_type",11,3168,7.42791726276486,1.04005692946885e-12,"Hematopoetic progenitor Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,2.12171613611645e-12
"187","(Intercept)",1,3168,0.344798154990043,0.557114487740805,"ILC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.190185331807242,0.763386872473623
"188","trajectory_group",1,3168,0.272526909794114,0.601678212617825,"ILC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.00900124668755321,0.748428996183149
"189","sex",1,3168,1.25965498623776,0.261801461292886,"ILC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.359046132905094
"190","discretized_admit_age_quantile",4,3168,1.24355782170508,0.290193037749836,"ILC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.344182440121899
"191","virus_positive",1,3168,5.79022428967596,0.0161724524315865,"ILC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.142311252371554,0.0916438971123235
"192","event_type",11,3168,1.91881286687795,0.0326856078145419,"ILC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0416741499635409
"193","(Intercept)",1,3168,6.87802436312651,0.00876799328529221,"Monocytes (CD14+CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.851262731204456,0.0842619286607882
"194","trajectory_group",1,3168,7.12089923871211,0.00765787815220409,"Monocytes (CD14+CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0461724364929926,0.0229736344566123
"195","sex",1,3168,6.00170486475581,0.0143458234613258,"Monocytes (CD14+CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0354491286541352
"196","discretized_admit_age_quantile",4,3168,10.2688301835914,2.92281040481512e-08,"Monocytes (CD14+CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,1.14664100496593e-07
"197","virus_positive",1,3168,16.2600987288928,5.65161428491834e-05,"Monocytes (CD14+CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.240137757403041,0.00144116164265418
"198","event_type",11,3168,8.24924319220261,1.99840144432528e-14,"Monocytes (CD14+CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,4.43123798524302e-14
"199","(Intercept)",1,3168,1.65334186470099,0.198598670575802,"Monocytes (CD14+CD16-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.361671052717882,0.440370965189822
"200","trajectory_group",1,3168,167.934369478254,0,"Monocytes (CD14+CD16-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.194249760676332,0
"201","sex",1,3168,86.233114488212,0,"Monocytes (CD14+CD16-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"202","discretized_admit_age_quantile",4,3168,15.4535583840293,1.5931700403371e-12,"Monocytes (CD14+CD16-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,1.1607381722456e-11
"203","virus_positive",1,3168,0.159833673892686,0.689336647734327,"Monocytes (CD14+CD16-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0206608337473368,0.901440231652582
"204","event_type",11,3168,46.6352386561533,0,"Monocytes (CD14+CD16-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"205","(Intercept)",1,3168,15.0001222794373,0.000109677169508826,"Monocytes (CD14-CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-1.07889448660905,0.00279676782247507
"206","trajectory_group",1,3168,0.000341953145232672,0.985247543857588,"Monocytes (CD14-CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.000274245318372331,0.985247543857588
"207","sex",1,3168,7.61615117506659,0.00581805023876103,"Monocytes (CD14-CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0164844756764896
"208","discretized_admit_age_quantile",4,3168,5.98909323821649,8.46652662352954e-05,"Monocytes (CD14-CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.000196269480818185
"209","virus_positive",1,3168,7.82878652028182,0.00517314016938786,"Monocytes (CD14-CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.142337013499816,0.0376900212341115
"210","event_type",11,3168,108.829083784904,0,"Monocytes (CD14-CD16+)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"211","(Intercept)",1,3168,0.957479906946974,0.327897346401748,"NK Cell (CD56hi CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.313328315216296,0.597241595231754
"212","trajectory_group",1,3168,8.31674129820322,0.0039546246173946,"NK Cell (CD56hi CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0492115712759583,0.0126053659679453
"213","sex",1,3168,0.0406348755304302,0.840257288704739,"NK Cell (CD56hi CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.874456238454451
"214","discretized_admit_age_quantile",4,3168,2.47864421762926,0.0421074114814366,"NK Cell (CD56hi CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0580399455554937
"215","virus_positive",1,3168,4.4303201764578,0.0353844457962242,"NK Cell (CD56hi CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.123389000572028,0.153553713219408
"216","event_type",11,3168,3.27229577891464,0.000179708732268025,"NK Cell (CD56hi CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.000286410792052164
"217","(Intercept)",1,3168,5.19425178512122,0.022727947681308,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.716968567551051,0.120725720922001
"218","trajectory_group",1,3168,0.682542470306463,0.408774819521328,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0138515832596257,0.613162229281992
"219","sex",1,3168,59.8269467368463,1.37667655053519e-14,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,2.34035013590983e-13
"220","discretized_admit_age_quantile",4,3168,45.7328920097261,0,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"221","virus_positive",1,3168,0.999532781777706,0.317499943186421,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0575989730033884,0.578303467946696
"222","event_type",11,3168,17.3492317152401,0,"NK Cell (CD56low CD16hi CD57hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"223","(Intercept)",1,3168,0.476959560123417,0.489853343277333,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.223339883160232,0.734780014915999
"224","trajectory_group",1,3168,4.28823216482704,0.0384578579491597,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0355952009262462,0.0852761198003106
"225","sex",1,3168,0.229683133814208,0.631791958902524,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.732304316000653
"226","discretized_admit_age_quantile",4,3168,5.65042337880378,0.000157263728252977,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00034871522351747
"227","virus_positive",1,3168,1.9172417502168,0.166258557056656,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0824874961381327,0.379675882344274
"228","event_type",11,3168,9.43156187496388,0,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"229","(Intercept)",1,3168,0.0507270237553278,0.821817519889139,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.075790022181754,0.891759436475448
"230","trajectory_group",1,3168,2.27562928278244,0.131521488761119,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0264355455382919,0.248429478771002
"231","sex",1,3168,1.68701831830768,0.194089014686946,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.282815421400978
"232","discretized_admit_age_quantile",4,3168,0.461336710822889,0.764168025503005,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.777138346036398
"233","virus_positive",1,3168,1.44285116129847,0.229768312799913,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0747028005763482,0.450699382799829
"234","event_type",11,3168,1.26961029858347,0.235504653590574,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.272971303025438
"235","(Intercept)",1,3168,0.483512833155159,0.486886441523829,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.230638491278787,0.734780014915999
"236","trajectory_group",1,3168,5.85709618742303,0.0155702802565647,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0427216001105932,0.0425758577247241
"237","sex",1,3168,1.30957052492921,0.252558882716895,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.357791750515602
"238","discretized_admit_age_quantile",4,3168,1.63891249289609,0.161608735479973,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.201025500231186
"239","virus_positive",1,3168,0.220715277521093,0.638527787767878,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0286815056516309,0.882365247365429
"240","event_type",11,3168,2.44142480064284,0.00495929919241012,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00683579077872746
"241","(Intercept)",1,3168,0.0679974793206546,0.794292024765752,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0879123095172836,0.880628114414203
"242","trajectory_group",1,3168,0.370479444847514,0.542786684812305,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0108975122053474,0.692053023135689
"243","sex",1,3168,1.17337294961244,0.278791708502532,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.364573772657157
"244","discretized_admit_age_quantile",4,3168,0.615660277264853,0.651370053715119,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.72217114651024
"245","virus_positive",1,3168,0.309926940630014,0.577764344200218,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0345892470975528,0.866646516300327
"246","event_type",11,3168,2.65641908621132,0.00216846106032231,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00307198650212328
"247","(Intercept)",1,3168,0.788372038071589,0.374660245103282,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.264281749666747,0.632608585686976
"248","trajectory_group",1,3168,0.0922442745968295,0.76136312613314,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.00481891095619546,0.844119987669351
"249","sex",1,3168,10.2021207468986,0.00141655186130862,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00481627632844932
"250","discretized_admit_age_quantile",4,3168,1.30822736912827,0.26447837536773,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.321152312946529
"251","virus_positive",1,3168,0.273046943006449,0.601331680029187,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0285165224703044,0.876226162328244
"252","event_type",11,3168,0.799940810717776,0.640381746637256,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.680405605802085
"253","(Intercept)",1,3168,0.00918635372123111,0.92364936751676,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0323811889520474,0.950656755408087
"254","trajectory_group",1,3168,0.798874653761566,0.371497936457356,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0153100061172109,0.580072176264344
"255","sex",1,3168,0.620223766285104,0.431023061514424,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.523385146124657
"256","discretized_admit_age_quantile",4,3168,0.52771046528301,0.715387605710371,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.774992193497946
"257","virus_positive",1,3168,0.0477564255054601,0.827028364965954,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0136562342834988,0.939312729033555
"258","event_type",11,3168,0.452780517793966,0.931951484754719,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.935120171033502
"259","(Intercept)",1,3168,0.80025220610234,0.371085932272383,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.291925819155636,0.632608585686976
"260","trajectory_group",1,3168,0.117722499451205,0.731540636383074,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0059663973599098,0.829079387900817
"261","sex",1,3168,2.83362342212267,0.0924084002939878,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.157094280499779
"262","discretized_admit_age_quantile",4,3168,2.33899463186255,0.0530284402057052,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0711697486971306
"263","virus_positive",1,3168,0.0709840801277279,0.789926652084048,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0159772958364692,0.939312729033555
